epoch,cost
1,0.75119337092347
2,0.711674175386544
3,0.688093792164139
4,0.664333342847879
5,0.640732093682329
6,0.617035748828337
7,0.593256863894566
8,0.569319327851518
9,0.545364638638593
10,0.521008003129294
11,0.49568055483328
12,0.467783039419644
13,0.4331377869509
14,0.381661687480276
15,0.319208227649573
16,0.268917170896068
17,0.226854322060988
18,0.189721637116014
19,0.157497617762223
20,0.131292483419718
